Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,8,2,µg/kg,Acrylamide,Acrylamide,1193.3,1193.3,1193.3,1193.3
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,1010.1,1010.1,1010.1,1010.1
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,1583.7,1583.7,1583.7,1583.7
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,209.9,209.9,209.9,209.9
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2009,5,2,µg/kg,Acrylamide,Acrylamide,1186.1,1186.1,1186.1,1186.1
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,411.5,411.5,411.5,411.5
Chocolat,chocolat noir,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,171.5,171.5,171.5,171.5
Chocolat,chocolat noir,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,95.9,95.9,95.9,95.9
Autres boissons chaudes,boisson au chocolat,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,21,21,21,21
Autres boissons chaudes,boisson au chocolat,R,2007,34,1,µg/kg,Acrylamide,Acrylamide,24.5,24.5,24.5,24.5
Autres boissons chaudes,boisson au chocolat,R,2008,2,1,µg/kg,Acrylamide,Acrylamide,23.6,23.6,23.6,23.6
Autres boissons chaudes,boisson au chocolat,R,2008,2,2,µg/kg,Acrylamide,Acrylamide,14.1,14.1,14.1,14.1
Autres boissons chaudes,boisson au chocolat,R,2008,6,1,µg/kg,Acrylamide,Acrylamide,29.4,29.4,29.4,29.4
Autres boissons chaudes,boisson au chocolat,R,2008,7,2,µg/kg,Acrylamide,Acrylamide,24,24,24,24
Autres boissons chaudes,boisson au chocolat,R,2008,8,1,µg/kg,Acrylamide,Acrylamide,30,30,30,30
Autres boissons chaudes,boisson au chocolat,R,2008,8,2,µg/kg,Acrylamide,Acrylamide,16.5,16.5,16.5,16.5
Autres boissons chaudes,boisson au chocolat,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,20.8,20.8,20.8,20.8
Autres boissons chaudes,boisson au chocolat,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,14.9,14.9,14.9,14.9
Autres boissons chaudes,boisson au chocolat,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,25.7,25.7,25.7,25.7
Autres boissons chaudes,boisson au chocolat,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,17.9,17.9,17.9,17.9
"Pizzas, quiches et pâtisseries salées",pizza,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,28.7,28.7,28.7,28.7
"Pizzas, quiches et pâtisseries salées",pizza,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,80.5,80.5,80.5,80.5
"Sandwiches, casse-croûte",hamburger,R,2007,34,1,µg/kg,Acrylamide,Acrylamide,11.6,11.6,11.6,11.6
"Sandwiches, casse-croûte",hamburger,R,2008,6,1,µg/kg,Acrylamide,Acrylamide,16.4,16.4,16.4,16.4
"Sandwiches, casse-croûte",hamburger,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Sandwiches, casse-croûte",hamburger,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Sandwiches, casse-croûte",hamburger,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Sandwiches, casse-croûte",hamburger,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Sandwiches, casse-croûte",sandwich,R,2007,1,1,µg/kg,Acrylamide,Acrylamide,34.2,34.2,34.2,34.2
"Sandwiches, casse-croûte",sandwich,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,20.9,20.9,20.9,20.9
"Sandwiches, casse-croûte",sandwich,R,2007,34,1,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Sandwiches, casse-croûte",sandwich,R,2008,1,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Sandwiches, casse-croûte",sandwich,R,2008,6,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Sandwiches, casse-croûte",sandwich,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,36,36,36,36
"Sandwiches, casse-croûte",sandwich,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Sandwiches, casse-croûte",sandwich,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Sandwiches, casse-croûte",sandwich,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Plats composés,pâtes fourrées type ravioli,R,2007,1,1,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Plats composés,pâtes fourrées type ravioli,R,2008,1,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Plats composés,pâtes fourrées type ravioli,R,2008,2,1,µg/kg,Acrylamide,Acrylamide,12.6,12.6,12.6,12.6
Plats composés,pâtes fourrées type ravioli,R,2008,2,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Plats composés,pâtes fourrées type ravioli,R,2008,8,1,µg/kg,Acrylamide,Acrylamide,16.5,16.5,16.5,16.5
Plats composés,pâtes fourrées type ravioli,R,2008,8,2,µg/kg,Acrylamide,Acrylamide,14.9,14.9,14.9,14.9
"Entremets, crèmes desserts et laits gélifiés",crème dessert,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Entremets, crèmes desserts et laits gélifiés",crème dessert,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
