Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Café,café noir,R,2007,7,1,µg/kg PF,HAP,PHE,0.095,0.095,0.095,0.095
Café,café noir,R,2008,2,1,µg/kg PF,HAP,PHE,0.085,0.085,0.085,0.085
Café,café noir,R,2008,9,1,µg/kg PF,HAP,PHE,0.108,0.108,0.108,0.108
Café,café noir,R,2009,5,2,µg/kg PF,HAP,PHE,0.155,0.155,0.155,0.155
Café,café noir,R,2008,2,2,µg/kg PF,HAP,PHE,"< 0,1",0,0.1,0.05
Café,café noir,R,2008,9,2,µg/kg PF,HAP,PHE,"< 0,185",0,0.185,0.0925
Café,café noir,R,2009,6,2,µg/kg PF,HAP,PHE,"< 0,174",0,0.174,0.087
Café,café noir,R,2008,34,2,µg/kg PF,HAP,PHE,0.015,0.015,0.015,0.015
Café,café noir,R,2008,5,1,µg/kg PF,HAP,PHE,0.022,0.022,0.022,0.022
Café,café noir,R,2008,8,1,µg/kg PF,HAP,PHE,0.079,0.079,0.079,0.079
Café,café noir,R,2008,7,2,µg/kg PF,HAP,PHE,0.082,0.082,0.082,0.082
Café,café noir,R,2008,6,1,µg/kg PF,HAP,PHE,0.110,0.110,0.110,0.110
Café,café noir,R,2008,1,2,µg/kg PF,HAP,PHE,"< 0,272",0,0.272,0.136
Café,café noir,R,2008,8,2,µg/kg PF,HAP,PHE,"< 0,207",0,0.207,0.1035
Café,café soluble reconstitué prêt à boire,R,2007,1,1,µg/kg PF,HAP,PHE,"< 0,03",0,0.03,0.015
Café,café soluble reconstitué prêt à boire,R,2007,7,1,µg/kg PF,HAP,PHE,0.097,0.097,0.097,0.097
Café,café soluble reconstitué prêt à boire,R,2008,2,1,µg/kg PF,HAP,PHE,0.129,0.129,0.129,0.129
Café,café soluble reconstitué prêt à boire,R,2008,9,1,µg/kg PF,HAP,PHE,"< 0,263",0,0.263,0.1315
Café,café soluble reconstitué prêt à boire,R,2009,5,2,µg/kg PF,HAP,PHE,0.062,0.062,0.062,0.062
Café,café soluble reconstitué prêt à boire,R,2008,2,2,µg/kg PF,HAP,PHE,,,,
Café,café soluble reconstitué prêt à boire,R,2008,9,2,µg/kg PF,HAP,PHE,0.084,0.084,0.084,0.084
Café,café soluble reconstitué prêt à boire,R,2009,6,2,µg/kg PF,HAP,PHE,0.036,0.036,0.036,0.036
Café,café soluble reconstitué prêt à boire,R,2008,5,1,µg/kg PF,HAP,PHE,0.044,0.044,0.044,0.044
Café,café soluble reconstitué prêt à boire,R,2008,8,1,µg/kg PF,HAP,PHE,0.274,0.274,0.274,0.274
Café,café soluble reconstitué prêt à boire,R,2008,7,2,µg/kg PF,HAP,PHE,0.257,0.257,0.257,0.257
Café,café soluble reconstitué prêt à boire,R,2008,6,1,µg/kg PF,HAP,PHE,0.408,0.408,0.408,0.408
Café,café soluble reconstitué prêt à boire,R,2008,1,2,µg/kg PF,HAP,PHE,0.017,0.017,0.017,0.017
Café,café soluble reconstitué prêt à boire,R,2008,8,2,µg/kg PF,HAP,PHE,"< 0,293",0,0.293,0.1465
Autres boissons chaudes,boisson au chocolat,R,2007,1,1,µg/kg PF,HAP,PHE,0.137,0.137,0.137,0.137
Autres boissons chaudes,boisson au chocolat,R,2008,1,2,µg/kg PF,HAP,PHE,"< 0,451",0,0.451,0.2255
Boissons fraîches sans alcool,boisson au soja ou tonyu,N,2007,99,1,µg/kg PF,HAP,PHE,0.037,0.037,0.037,0.037
Boissons fraîches sans alcool,boisson au soja ou tonyu,N,2008,99,2,µg/kg PF,HAP,PHE,"< 0,1",0,0.1,0.05
Légumes (hors pomme de terre),radis,R,2008,5,1,µg/kg PF,HAP,PHE,0.053,0.053,0.053,0.053
Légumes (hors pomme de terre),radis,R,2008,9,1,µg/kg PF,HAP,PHE,"< 0,088",0,0.088,0.044
Légumes (hors pomme de terre),radis,R,2008,8,1,µg/kg PF,HAP,PHE,0.024,0.024,0.024,0.024
Légumes (hors pomme de terre),radis,R,2008,9,2,µg/kg PF,HAP,PHE,0.503,0.503,0.503,0.503
Légumes (hors pomme de terre),radis,R,2008,2,2,µg/kg PF,HAP,PHE,0.034,0.034,0.034,0.034
Légumes (hors pomme de terre),radis,R,2009,5,2,µg/kg PF,HAP,PHE,0.059,0.059,0.059,0.059
Légumes (hors pomme de terre),radis,R,2008,6,1,µg/kg PF,HAP,PHE,0.405,0.405,0.405,0.405
Légumes (hors pomme de terre),radis,R,2009,6,2,µg/kg PF,HAP,PHE,0.398,0.398,0.398,0.398
Légumes (hors pomme de terre),radis,R,2008,1,2,µg/kg PF,HAP,PHE,0.333,0.333,0.333,0.333
Légumes (hors pomme de terre),radis,R,2008,8,2,µg/kg PF,HAP,PHE,0.226,0.226,0.226,0.226
Oeufs et dérivés,oeuf dur,R,2008,2,1,µg/kg PF,HAP,PHE,"< 0,614",0,0.614,0.307
Oeufs et dérivés,oeuf dur,R,2007,7,1,µg/kg PF,HAP,PHE,0.491,0.491,0.491,0.491
Oeufs et dérivés,oeuf dur,R,2007,34,1,µg/kg PF,HAP,PHE,0.057,0.057,0.057,0.057
Oeufs et dérivés,oeuf dur,R,2007,1,1,µg/kg PF,HAP,PHE,"< 1,103",0,1.103,0.5515
Oeufs et dérivés,oeuf dur,R,2008,8,1,µg/kg PF,HAP,PHE,"< 0,721",0,0.721,0.3605
Oeufs et dérivés,oeuf dur,R,2009,6,2,µg/kg PF,HAP,PHE,"< 0,732",0,0.732,0.366
Oeufs et dérivés,oeuf dur,R,2008,2,2,µg/kg PF,HAP,PHE,0.378,0.378,0.378,0.378
Oeufs et dérivés,oeuf dur,R,2008,9,1,µg/kg PF,HAP,PHE,0.143,0.143,0.143,0.143
Oeufs et dérivés,oeuf dur,R,2008,9,2,µg/kg PF,HAP,PHE,0.132,0.132,0.132,0.132
Oeufs et dérivés,oeuf dur,R,2008,7,2,µg/kg PF,HAP,PHE,"< 0,633",0,0.633,0.3165
Oeufs et dérivés,oeuf dur,R,2008,34,2,µg/kg PF,HAP,PHE,"< 1,142",0,1.142,0.571
Oeufs et dérivés,oeuf dur,R,2008,1,2,µg/kg PF,HAP,PHE,0.061,0.061,0.061,0.061
Oeufs et dérivés,oeuf dur,R,2008,6,1,µg/kg PF,HAP,PHE,"< 1,127",0,1.127,0.5635
Oeufs et dérivés,oeuf dur,R,2008,8,2,µg/kg PF,HAP,PHE,"< 0,662",0,0.662,0.331
Pâtisseries et gâteaux,gâteau au chocolat,N,2008,99,2,µg/kg PF,HAP,PHE,0.636,0.636,0.636,0.636
Pâtisseries et gâteaux,cake aux fruits confits,N,2008,99,2,µg/kg PF,HAP,PHE,"< 6,394",0,6.394,3.197
Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,2008,99,2,µg/kg PF,HAP,PHE,0.708,0.708,0.708,0.708
Plats composés,cassoulet,R,2008,5,1,µg/kg PF,HAP,PHE,1.276,1.276,1.276,1.276
Plats composés,cassoulet,R,2009,5,2,µg/kg PF,HAP,PHE,1.318,1.318,1.318,1.318
Plats composés,choucroute,R,2008,5,1,µg/kg PF,HAP,PHE,4.583,4.583,4.583,4.583
Plats composés,choucroute,R,2009,5,2,µg/kg PF,HAP,PHE,9.173,9.173,9.173,9.173
Plats composés,choucroute,R,2008,9,2,µg/kg PF,HAP,PHE,7.703,7.703,7.703,7.703
Plats composés,choucroute,R,2009,6,2,µg/kg PF,HAP,PHE,4.103,4.103,4.103,4.103
Plats composés,hachis parmentier,R,2007,1,1,µg/kg PF,HAP,PHE,3.869,3.869,3.869,3.869
Plats composés,hachis parmentier,R,2007,34,1,µg/kg PF,HAP,PHE,9.365,9.365,9.365,9.365
Plats composés,hachis parmentier,R,2008,5,1,µg/kg PF,HAP,PHE,0.670,0.670,0.670,0.670
Plats composés,hachis parmentier,R,2008,9,2,µg/kg PF,HAP,PHE,2.184,2.184,2.184,2.184
Plats composés,hachis parmentier,R,2008,9,1,µg/kg PF,HAP,PHE,0.551,0.551,0.551,0.551
Plats composés,hachis parmentier,R,2009,5,2,µg/kg PF,HAP,PHE,1.889,1.889,1.889,1.889
Plats composés,hachis parmentier,R,2008,34,2,µg/kg PF,HAP,PHE,"< 1,471",0,1.471,0.7355
Plats composés,hachis parmentier,R,2008,1,2,µg/kg PF,HAP,PHE,"< 2,399",0,2.399,1.1995
Plats composés,pot-au-feu,R,2008,9,2,µg/kg PF,HAP,PHE,1.189,1.189,1.189,1.189
Plats composés,pot-au-feu,R,2009,5,2,µg/kg PF,HAP,PHE,0.344,0.344,0.344,0.344
Plats composés,pot-au-feu,R,2008,7,2,µg/kg PF,HAP,PHE,"< 0,512",0,0.512,0.256
Légumes (hors pomme de terre),ratatouille,R,2007,34,1,µg/kg PF,HAP,PHE,0.501,0.501,0.501,0.501
Légumes (hors pomme de terre),ratatouille,R,2008,34,2,µg/kg PF,HAP,PHE,0.435,0.435,0.435,0.435
Légumes (hors pomme de terre),ratatouille,R,2008,7,2,µg/kg PF,HAP,PHE,0.868,0.868,0.868,0.868
Plats composés,couscous,R,2007,7,1,µg/kg PF,HAP,PHE,3.045,3.045,3.045,3.045
Plats composés,couscous,R,2007,34,1,µg/kg PF,HAP,PHE,1.783,1.783,1.783,1.783
Plats composés,couscous,R,2008,5,1,µg/kg PF,HAP,PHE,2.925,2.925,2.925,2.925
Plats composés,couscous,R,2009,5,2,µg/kg PF,HAP,PHE,1.680,1.680,1.680,1.680
Plats composés,couscous,R,2009,6,2,µg/kg PF,HAP,PHE,1.453,1.453,1.453,1.453
Plats composés,couscous,R,2008,9,1,µg/kg PF,HAP,PHE,1.495,1.495,1.495,1.495
Plats composés,couscous,R,2008,9,2,µg/kg PF,HAP,PHE,1.719,1.719,1.719,1.719
Plats composés,couscous,R,2008,34,2,µg/kg PF,HAP,PHE,0.671,0.671,0.671,0.671
Plats composés,couscous,R,2008,7,2,µg/kg PF,HAP,PHE,"< 1,268",0,1.268,0.634
Plats composés,couscous,R,2008,6,1,µg/kg PF,HAP,PHE,"< 1,699",0,1.699,0.8495
Plats composés,cordon bleu de volaille,R,2007,34,1,µg/kg PF,HAP,PHE,3.361,3.361,3.361,3.361
Plats composés,cordon bleu de volaille,R,2008,34,2,µg/kg PF,HAP,PHE,0.873,0.873,0.873,0.873
"Pizzas, quiches et pâtisseries salées",quiche lorraine,N,2007,99,1,µg/kg PF,HAP,PHE,3.512,3.512,3.512,3.512
"Pizzas, quiches et pâtisseries salées",quiche lorraine,N,2008,99,2,µg/kg PF,HAP,PHE,13.247,13.247,13.247,13.247
Poissons,lieu ou colin,R,2007,7,1,µg/kg PF,HAP,PHE,1.373,1.373,1.373,1.373
Poissons,lieu ou colin,R,2007,1,1,µg/kg PF,HAP,PHE,0.802,0.802,0.802,0.802
Poissons,lieu ou colin,R,2008,2,1,µg/kg PF,HAP,PHE,1.141,1.141,1.141,1.141
Poissons,lieu ou colin,R,2008,2,2,µg/kg PF,HAP,PHE,"< 2,267",0,2.267,1.1335
Poissons,lieu ou colin,R,2008,1,2,µg/kg PF,HAP,PHE,0.174,0.174,0.174,0.174
Poissons,lieu ou colin,R,2008,7,2,µg/kg PF,HAP,PHE,0.297,0.297,0.297,0.297
Poissons,poisson pané,R,2007,7,1,µg/kg PF,HAP,PHE,4.530,4.530,4.530,4.530
Poissons,poisson pané,R,2007,34,1,µg/kg PF,HAP,PHE,3.051,3.051,3.051,3.051
Poissons,poisson pané,R,2007,1,1,µg/kg PF,HAP,PHE,2.695,2.695,2.695,2.695
Poissons,poisson pané,R,2008,2,1,µg/kg PF,HAP,PHE,4.275,4.275,4.275,4.275
Poissons,poisson pané,R,2008,8,1,µg/kg PF,HAP,PHE,"< 1,873",0,1.873,0.9365
Poissons,poisson pané,R,2009,6,2,µg/kg PF,HAP,PHE,"< 1,869",0,1.869,0.9345
Poissons,poisson pané,R,2008,2,2,µg/kg PF,HAP,PHE,1.360,1.360,1.360,1.360
Poissons,poisson pané,R,2008,9,1,µg/kg PF,HAP,PHE,1.756,1.756,1.756,1.756
Poissons,poisson pané,R,2009,5,2,µg/kg PF,HAP,PHE,0.640,0.640,0.640,0.640
Poissons,poisson pané,R,2008,9,2,µg/kg PF,HAP,PHE,4.111,4.111,4.111,4.111
Poissons,poisson pané,R,2008,7,2,µg/kg PF,HAP,PHE,1.025,1.025,1.025,1.025
Poissons,poisson pané,R,2008,6,1,µg/kg PF,HAP,PHE,2.311,2.311,2.311,2.311
Poissons,poisson pané,R,2008,34,2,µg/kg PF,HAP,PHE,0.342,0.342,0.342,0.342
Poissons,poisson pané,R,2008,1,2,µg/kg PF,HAP,PHE,"< 1,129",0,1.129,0.5645
Poissons,poisson pané,R,2008,5,1,µg/kg PF,HAP,PHE,4.741,4.741,4.741,4.741
Poissons,poisson pané,R,2008,8,2,µg/kg PF,HAP,PHE,0.652,0.652,0.652,0.652
Poissons,saumon fumé,R,2007,34,1,µg/kg PF,HAP,PHE,5.032,5.032,5.032,5.032
Poissons,saumon fumé,R,2008,34,2,µg/kg PF,HAP,PHE,3.375,3.375,3.375,3.375
Poissons,saumon,R,2008,2,1,µg/kg PF,HAP,PHE,8.654,8.654,8.654,8.654
Poissons,saumon,R,2007,7,1,µg/kg PF,HAP,PHE,5.693,5.693,5.693,5.693
Poissons,saumon,R,2007,34,1,µg/kg PF,HAP,PHE,7.479,7.479,7.479,7.479
Poissons,saumon,R,2007,1,1,µg/kg PF,HAP,PHE,6.279,6.279,6.279,6.279
Poissons,saumon,R,2008,5,1,µg/kg PF,HAP,PHE,0.586,0.586,0.586,0.586
Poissons,saumon,R,2008,9,1,µg/kg PF,HAP,PHE,1.324,1.324,1.324,1.324
Poissons,saumon,R,2008,8,1,µg/kg PF,HAP,PHE,"< 1,902",0,1.902,0.951
Poissons,saumon,R,2008,2,2,µg/kg PF,HAP,PHE,2.233,2.233,2.233,2.233
Poissons,saumon,R,2009,5,2,µg/kg PF,HAP,PHE,1.460,1.460,1.460,1.460
Poissons,saumon,R,2008,9,2,µg/kg PF,HAP,PHE,2.380,2.380,2.380,2.380
