Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Plats composés,choucroute,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.0685,0.0685,0.0685,0.0685
Plats composés,choucroute,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.2410,0.2410,0.2410,0.2410
Plats composés,choucroute,R,2008,9,2,ng/g,Bromés,HBCD alpha,0.1343,0.1343,0.1343,0.1343
Plats composés,choucroute,R,2009,6,2,ng/g,Bromés,HBCD alpha,0.0540,0.0540,0.0540,0.0540
Plats composés,hachis parmentier,R,2007,1,1,ng/g,Bromés,HBCD alpha,0.0350,0.0350,0.0350,0.0350
Plats composés,hachis parmentier,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.0068,0.0068,0.0068,0.0068
Plats composés,hachis parmentier,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.0083,0.0083,0.0083,0.0083
Plats composés,hachis parmentier,R,2008,9,2,ng/g,Bromés,HBCD alpha,0.0142,0.0142,0.0142,0.0142
Plats composés,hachis parmentier,R,2008,9,1,ng/g,Bromés,HBCD alpha,0.0089,0.0089,0.0089,0.0089
Plats composés,hachis parmentier,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.0241,0.0241,0.0241,0.0241
Plats composés,hachis parmentier,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.0133,0.0133,0.0133,0.0133
Plats composés,hachis parmentier,R,2008,1,2,ng/g,Bromés,HBCD alpha,0.0278,0.0278,0.0278,0.0278
Plats composés,pot-au-feu,R,2008,9,2,ng/g,Bromés,HBCD alpha,0.0028,0.0028,0.0028,0.0028
Plats composés,pot-au-feu,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.0001,0.0001,0.0001,0.0001
Plats composés,pot-au-feu,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.0022,0.0022,0.0022,0.0022
Légumes (hors pomme de terre),ratatouille,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.0001,0.0001,0.0001,0.0001
Légumes (hors pomme de terre),ratatouille,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.0016,0.0016,0.0016,0.0016
Légumes (hors pomme de terre),ratatouille,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.0045,0.0045,0.0045,0.0045
Plats composés,couscous,R,2007,7,1,ng/g,Bromés,HBCD alpha,0.0208,0.0208,0.0208,0.0208
Plats composés,couscous,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.0138,0.0138,0.0138,0.0138
Plats composés,couscous,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.0108,0.0108,0.0108,0.0108
Plats composés,couscous,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.0101,0.0101,0.0101,0.0101
Plats composés,couscous,R,2009,6,2,ng/g,Bromés,HBCD alpha,0.0027,0.0027,0.0027,0.0027
Plats composés,couscous,R,2008,9,1,ng/g,Bromés,HBCD alpha,0.0056,0.0056,0.0056,0.0056
Plats composés,couscous,R,2008,9,2,ng/g,Bromés,HBCD alpha,0.0005,0.0005,0.0005,0.0005
Plats composés,couscous,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.0026,0.0026,0.0026,0.0026
Plats composés,couscous,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.0052,0.0052,0.0052,0.0052
Plats composés,couscous,R,2008,6,1,ng/g,Bromés,HBCD alpha,0.0057,0.0057,0.0057,0.0057
Plats composés,cordon bleu de volaille,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.0471,0.0471,0.0471,0.0471
Plats composés,cordon bleu de volaille,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.0358,0.0358,0.0358,0.0358
"Pizzas, quiches et pâtisseries salées",quiche lorraine,N,2007,99,1,ng/g,Bromés,HBCD alpha,0.0215,0.0215,0.0215,0.0215
"Pizzas, quiches et pâtisseries salées",quiche lorraine,N,2008,99,2,ng/g,Bromés,HBCD alpha,0.0592,0.0592,0.0592,0.0592
Poissons,lieu ou colin,R,2007,7,1,ng/g,Bromés,HBCD alpha,0.0054,0.0054,0.0054,0.0054
Poissons,lieu ou colin,R,2007,1,1,ng/g,Bromés,HBCD alpha,0.0378,0.0378,0.0378,0.0378
Poissons,lieu ou colin,R,2008,2,1,ng/g,Bromés,HBCD alpha,0.0081,0.0081,0.0081,0.0081
Poissons,lieu ou colin,R,2008,2,2,ng/g,Bromés,HBCD alpha,0.0154,0.0154,0.0154,0.0154
Poissons,lieu ou colin,R,2008,1,2,ng/g,Bromés,HBCD alpha,0.0084,0.0084,0.0084,0.0084
