Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Plats composés,hachis parmentier,R,2008,2,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Plats composés,hachis parmentier,R,2008,2,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Plats composés,hachis parmentier,R,2008,5,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Plats composés,hachis parmentier,R,2008,9,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Plats composés,hachis parmentier,R,2008,9,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Plats composés,hachis parmentier,R,2008,34,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Plats composés,hachis parmentier,R,2009,5,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Plats composés,couscous,R,2007,7,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,couscous,R,2007,34,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,couscous,R,2008,6,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,couscous,R,2008,5,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,couscous,R,2008,7,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,couscous,R,2008,9,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,couscous,R,2008,9,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,couscous,R,2008,34,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,couscous,R,2009,5,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,couscous,R,2009,6,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,cordon bleu de volaille,R,2007,34,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,cordon bleu de volaille,R,2008,34,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,taboulé,R,2007,34,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Plats composés,taboulé,R,2008,6,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Plats composés,taboulé,R,2008,8,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Plats composés,taboulé,R,2008,8,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",7,7,7,7
Plats composés,taboulé,R,2008,34,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
