Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Plats composés,pot-au-feu,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),6.41,0,,
Plats composés,pot-au-feu,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),6.78,0,,
Plats composés,pot-au-feu,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),5.25,0,,
Légumes (hors pomme de terre),ratatouille,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),3.39,0,,
Légumes (hors pomme de terre),ratatouille,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),2.94,0,,
Légumes (hors pomme de terre),ratatouille,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),3.08,0,,
Plats composés,couscous,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),8.02,0,,
Plats composés,couscous,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),7.58,0,,
Plats composés,couscous,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),8.76,0,,
Plats composés,couscous,R,2008,6,1,pg/g PF,Dioxines PCB,Lipides (%),6.65,0,,
Plats composés,couscous,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),5.99,0,,
Plats composés,couscous,R,2008,9,1,pg/g PF,Dioxines PCB,Lipides (%),6.33,0,,
Plats composés,couscous,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),8.39,0,,
Plats composés,couscous,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),6.6,0,,
Plats composés,couscous,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),7.7,0,,
Plats composés,couscous,R,2009,6,2,pg/g PF,Dioxines PCB,Lipides (%),8.55,0,,
Plats composés,cordon bleu de volaille,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),13.33,0,,
Plats composés,cordon bleu de volaille,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),10.87,0,,
"Pizzas, quiches et pâtisseries salées",quiche lorraine,N,2007,99,1,pg/g PF,Dioxines PCB,Lipides (%),20.69,0,,
"Pizzas, quiches et pâtisseries salées",quiche lorraine,N,2008,99,2,pg/g PF,Dioxines PCB,Lipides (%),21.15,0,,
Poissons,lieu ou colin,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),1.22,0,,
Poissons,lieu ou colin,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),1.52,0,,
Poissons,lieu ou colin,R,2008,1,2,pg/g PF,Dioxines PCB,Lipides (%),0.54,0,,
Poissons,lieu ou colin,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),1.19,0,,
Poissons,lieu ou colin,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),1.77,0,,
Poissons,lieu ou colin,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),0.44,0,,
Poissons,poisson pané,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),10.65,0,,
Poissons,poisson pané,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),9.67,0,,
Poissons,poisson pané,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),9.84,0,,
Poissons,poisson pané,R,2008,1,2,pg/g PF,Dioxines PCB,Lipides (%),8.86,0,,
Poissons,poisson pané,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),11.83,0,,
Poissons,poisson pané,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),11.4,0,,
Poissons,poisson pané,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),15.39,0,,
Poissons,poisson pané,R,2008,6,1,pg/g PF,Dioxines PCB,Lipides (%),10.29,0,,
Poissons,poisson pané,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),5.12,0,,
Poissons,poisson pané,R,2008,8,1,pg/g PF,Dioxines PCB,Lipides (%),9.33,0,,
Poissons,poisson pané,R,2008,8,2,pg/g PF,Dioxines PCB,Lipides (%),6.83,0,,
Poissons,poisson pané,R,2008,9,1,pg/g PF,Dioxines PCB,Lipides (%),10.71,0,,
Poissons,poisson pané,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),9.74,0,,
Poissons,poisson pané,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),8.93,0,,
Poissons,poisson pané,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),6.22,0,,
Poissons,poisson pané,R,2009,6,2,pg/g PF,Dioxines PCB,Lipides (%),11.3,0,,
Poissons,saumon fumé,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),9.15,0,,
Poissons,saumon fumé,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),10.76,0,,
Poissons,saumon,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),18.08,0,,
Poissons,saumon,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),10.36,0,,
Poissons,saumon,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),15.58,0,,
Poissons,saumon,R,2008,1,2,pg/g PF,Dioxines PCB,Lipides (%),2.27,0,,
