Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Poissons,lieu ou colin,R,2007,7,1,ng/g,Perfluorés,PFOS,0.080,0.080,0.080,0.080
Poissons,lieu ou colin,R,2007,1,1,ng/g,Perfluorés,PFOS,0.126,0.126,0.126,0.126
Poissons,lieu ou colin,R,2008,2,1,ng/g,Perfluorés,PFOS,0.361,0.361,0.361,0.361
Poissons,lieu ou colin,R,2008,2,2,ng/g,Perfluorés,PFOS,0.195,0.195,0.195,0.195
Poissons,lieu ou colin,R,2008,1,2,ng/g,Perfluorés,PFOS,0.182,0.182,0.182,0.182
Poissons,lieu ou colin,R,2008,7,2,ng/g,Perfluorés,PFOS,0.228,0.228,0.228,0.228
Poissons,poisson pané,R,2007,7,1,ng/g,Perfluorés,PFOS,0.029,0.029,0.029,0.029
Poissons,poisson pané,R,2007,34,1,ng/g,Perfluorés,PFOS,"<0,02",0,0.02,0.01
Poissons,poisson pané,R,2007,1,1,ng/g,Perfluorés,PFOS,0.072,0.072,0.072,0.072
Poissons,poisson pané,R,2008,2,1,ng/g,Perfluorés,PFOS,0.037,0.037,0.037,0.037
Poissons,poisson pané,R,2008,8,1,ng/g,Perfluorés,PFOS,"<0,022",0,0.022,0.011
Poissons,poisson pané,R,2009,6,2,ng/g,Perfluorés,PFOS,0.038,0.038,0.038,0.038
Poissons,poisson pané,R,2008,2,2,ng/g,Perfluorés,PFOS,"<0,023",0,0.023,0.0115
Poissons,poisson pané,R,2008,9,1,ng/g,Perfluorés,PFOS,0.035,0.035,0.035,0.035
Poissons,poisson pané,R,2009,5,2,ng/g,Perfluorés,PFOS,"<0,014",0,0.014,0.007
Poissons,poisson pané,R,2008,9,2,ng/g,Perfluorés,PFOS,"<0,026",0,0.026,0.013
Poissons,poisson pané,R,2008,7,2,ng/g,Perfluorés,PFOS,"<0,015",0,0.015,0.0075
Poissons,poisson pané,R,2008,6,1,ng/g,Perfluorés,PFOS,"<0,021",0,0.021,0.0105
Poissons,poisson pané,R,2008,34,2,ng/g,Perfluorés,PFOS,0.068,0.068,0.068,0.068
Poissons,poisson pané,R,2008,1,2,ng/g,Perfluorés,PFOS,0.036,0.036,0.036,0.036
Poissons,poisson pané,R,2008,5,1,ng/g,Perfluorés,PFOS,0.033,0.033,0.033,0.033
Poissons,poisson pané,R,2008,8,2,ng/g,Perfluorés,PFOS,"<0,014",0,0.014,0.007
Poissons,saumon fumé,R,2007,34,1,ng/g,Perfluorés,PFOS,"<0,018",0,0.018,0.009
Poissons,saumon fumé,R,2008,34,2,ng/g,Perfluorés,PFOS,"<0,019",0,0.019,0.0095
Poissons,saumon,R,2008,2,1,ng/g,Perfluorés,PFOS,"<0,022",0,0.022,0.011
Poissons,saumon,R,2007,7,1,ng/g,Perfluorés,PFOS,"<0,017",0,0.017,0.0085
Poissons,saumon,R,2007,34,1,ng/g,Perfluorés,PFOS,"<0,02",0,0.02,0.01
Poissons,saumon,R,2007,1,1,ng/g,Perfluorés,PFOS,"<0,021",0,0.021,0.0105
Poissons,saumon,R,2008,5,1,ng/g,Perfluorés,PFOS,"<0,02",0,0.02,0.01
Poissons,saumon,R,2008,9,1,ng/g,Perfluorés,PFOS,"<0,019",0,0.019,0.0095
Poissons,saumon,R,2008,8,1,ng/g,Perfluorés,PFOS,"<0,022",0,0.022,0.011
Poissons,saumon,R,2008,2,2,ng/g,Perfluorés,PFOS,"<0,022",0,0.022,0.011
Poissons,saumon,R,2009,5,2,ng/g,Perfluorés,PFOS,"<0,013",0,0.013,0.0065
Poissons,saumon,R,2008,9,2,ng/g,Perfluorés,PFOS,"<0,021",0,0.021,0.0105
Poissons,saumon,R,2008,7,2,ng/g,Perfluorés,PFOS,"<0,022",0,0.022,0.011
Poissons,saumon,R,2008,6,1,ng/g,Perfluorés,PFOS,"<0,021",0,0.021,0.0105
Poissons,saumon,R,2009,6,2,ng/g,Perfluorés,PFOS,"<0,021",0,0.021,0.0105
Poissons,saumon,R,2008,34,2,ng/g,Perfluorés,PFOS,"<0,02",0,0.02,0.01
Poissons,saumon,R,2008,1,2,ng/g,Perfluorés,PFOS,0.453,0.453,0.453,0.453
Poissons,saumon,R,2008,8,2,ng/g,Perfluorés,PFOS,"<0,045",0,0.045,0.0225
Poissons,thon,R,2008,8,2,ng/g,Perfluorés,PFOS,"<0,017",0,0.017,0.0085
Poissons,thon,R,2008,8,1,ng/g,Perfluorés,PFOS,0.508,0.508,0.508,0.508
Charcuterie,merguez,R,2008,2,1,ng/g,Perfluorés,PFOS,"<0,063",0,0.063,0.0315
Charcuterie,merguez,R,2007,7,1,ng/g,Perfluorés,PFOS,"<0,048",0,0.048,0.024
Charcuterie,merguez,R,2008,5,1,ng/g,Perfluorés,PFOS,"<0,05",0,0.05,0.025
Charcuterie,merguez,R,2008,2,2,ng/g,Perfluorés,PFOS,"<0,026",0,0.026,0.013
Charcuterie,merguez,R,2009,5,2,ng/g,Perfluorés,PFOS,0.112,0.112,0.112,0.112
Charcuterie,merguez,R,2008,7,2,ng/g,Perfluorés,PFOS,0.078,0.078,0.078,0.078
Charcuterie,saucisse de strasbourg,R,2008,2,1,ng/g,Perfluorés,PFOS,"<0,051",0,0.051,0.0255
Charcuterie,saucisse de strasbourg,R,2007,34,1,ng/g,Perfluorés,PFOS,"<0,047",0,0.047,0.0235
Charcuterie,saucisse de strasbourg,R,2008,5,1,ng/g,Perfluorés,PFOS,"<0,046",0,0.046,0.023
Charcuterie,saucisse de strasbourg,R,2008,8,1,ng/g,Perfluorés,PFOS,"<0,066",0,0.066,0.033
Charcuterie,saucisse de strasbourg,R,2008,2,2,ng/g,Perfluorés,PFOS,"<0,068",0,0.068,0.034
Charcuterie,saucisse de strasbourg,R,2009,5,2,ng/g,Perfluorés,PFOS,"<0,031",0,0.031,0.0155
Charcuterie,saucisse de strasbourg,R,2008,34,2,ng/g,Perfluorés,PFOS,"<0,043",0,0.043,0.0215
Chocolat,pâte à tartiner chocolatée,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,093",0,0.093,0.0465
Volaille et gibier,dinde rôtie,R,2008,9,2,ng/g,Perfluorés,PFOS,"<0,014",0,0.014,0.007
Volaille et gibier,dinde rôtie,R,2008,9,1,ng/g,Perfluorés,PFOS,"<0,025",0,0.025,0.0125
Volaille et gibier,dinde escalope,R,2007,1,1,ng/g,Perfluorés,PFOS,"<0,062",0,0.062,0.031
Volaille et gibier,dinde escalope,R,2007,7,1,ng/g,Perfluorés,PFOS,"<0,056",0,0.056,0.028
Volaille et gibier,dinde escalope,R,2007,34,1,ng/g,Perfluorés,PFOS,"<0,03",0,0.03,0.015
Volaille et gibier,dinde escalope,R,2008,2,1,ng/g,Perfluorés,PFOS,"<0,038",0,0.038,0.019
Volaille et gibier,dinde escalope,R,2008,9,1,ng/g,Perfluorés,PFOS,"<0,017",0,0.017,0.0085
Volaille et gibier,dinde escalope,R,2008,8,1,ng/g,Perfluorés,PFOS,"<0,021",0,0.021,0.0105
Volaille et gibier,dinde escalope,R,2008,9,2,ng/g,Perfluorés,PFOS,"<0,011",0,0.011,0.0055
Volaille et gibier,dinde escalope,R,2009,5,2,ng/g,Perfluorés,PFOS,"<0,011",0,0.011,0.0055
Volaille et gibier,dinde escalope,R,2008,2,2,ng/g,Perfluorés,PFOS,"<0,01",0,0.01,0.005
Volaille et gibier,dinde escalope,R,2009,6,2,ng/g,Perfluorés,PFOS,"<0,025",0,0.025,0.0125
Volaille et gibier,dinde escalope,R,2008,34,2,ng/g,Perfluorés,PFOS,"<0,037",0,0.037,0.0185
Volaille et gibier,dinde escalope,R,2008,5,1,ng/g,Perfluorés,PFOS,"<0,063",0,0.063,0.0315
Volaille et gibier,dinde escalope,R,2008,7,2,ng/g,Perfluorés,PFOS,"<0,017",0,0.017,0.0085
Volaille et gibier,dinde escalope,R,2008,6,1,ng/g,Perfluorés,PFOS,"<0,038",0,0.038,0.019
Volaille et gibier,dinde escalope,R,2008,1,2,ng/g,Perfluorés,PFOS,"<0,085",0,0.085,0.0425
Volaille et gibier,dinde escalope,R,2008,8,2,ng/g,Perfluorés,PFOS,"<0,052",0,0.052,0.026
"Entremets, crèmes desserts et laits gélifiés",mousse au chocolat rayon frais,N,2007,99,1,ng/g,Perfluorés,PFOS,"<0,04",0,0.04,0.02
"Entremets, crèmes desserts et laits gélifiés",mousse au chocolat rayon frais,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,065",0,0.065,0.0325
"Entremets, crèmes desserts et laits gélifiés",chocolat viennois ou liégeois,N,2007,99,1,ng/g,Perfluorés,PFOS,"<0,032",0,0.032,0.016
"Entremets, crèmes desserts et laits gélifiés",chocolat viennois ou liégeois,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,048",0,0.048,0.024
"Entremets, crèmes desserts et laits gélifiés",crème caramel,N,2007,99,1,ng/g,Perfluorés,PFOS,"<0,032",0,0.032,0.016
"Entremets, crèmes desserts et laits gélifiés",crème caramel,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,019",0,0.019,0.0095
"Entremets, crèmes desserts et laits gélifiés",clafoutis aux fruits,R,2009,6,2,ng/g,Perfluorés,PFOS,"<0,03",0,0.03,0.015
"Entremets, crèmes desserts et laits gélifiés",clafoutis aux fruits,R,2008,6,1,ng/g,Perfluorés,PFOS,"<0,042",0,0.042,0.021
